Oracle DB Column,FBDI Column Name,Tech Comments,Data Type,Max Length,Field Description,Legacy Table Name,Legacy Column Name,Legacy Field Description,Mapping Logic,Confidence Score
MIN_MINMAX_QUANTITY,Minimum Min-Max Quantity,Sample: 10,NUMBER,,Minimum quantity for minimum-maximum planning.,,,,,
MAX_MINMAX_QUANTITY,Maximum Min-Max Quantity,Sample: 100,NUMBER,,Maximum quantity for minimum-maximum planning.,,,,,
PLANNER_CODE,Planner,Sample: S,VARCHAR2,10,"Value indicates the material planner for the item. Review and update the value for this attribute using the Setup and Maintenance work area, and the Manage Material Planners task.",,,,,
RESTRICT_SUBINVENTORIES_CODE,Subinventory Restrictions,Sample: 2,NUMBER,,"Contains one of the following values:1 or 2.  If 1, then restrict the transactions of the item from the subinventory.  If 2, then don't restrict the transactions of the item from the subinventory. The default value is true.",,,,,
RESTRICT_LOCATORS_CODE,Restrict Locators,Sample: 2,NUMBER,,"Contains one of the following values: 1 or 2.  If 1, then restrict the transactions of the item from the locator. If 2, then don't restrict the transactions of the item from the locator.",,,,,
CHILD_LOT_FLAG,Child Lot Enabled,Sample: N,VARCHAR2,1,"Contains one of the following values: Y or N. If Y, then if parent lot is specified, use lot control on the item during the transaction. If N, then don't use lot control on the item during the transaction.",,,,,
CHILD_LOT_VALIDATION_FLAG,Child Lot Format Validation,Sample: N,VARCHAR2,1,"Contains one of the following values: Y or N. If Y, then make sure the child lot numbers conform to the child lot parameters.  If N, then don't make sure the child lot numbers conform to the child lot parameters.",,,,,
COPY_LOT_ATTRIBUTE_FLAG,Copy Lot Attributes,Sample: N,VARCHAR2,1,"Contains one of the following values: Y or N. If Y, then the child lot inherits the parent lot attributes. If N, then the child lot doesn't inherit the parent lot attributes.",,,,,
START_AUTO_LOT_NUMBER,Starting Lot Number,Sample: 000003000,VARCHAR2,80,Starting number associated with the lot numbers when they are automatically created for an item.,,,,,
SHELF_LIFE_CODE,Lot Expiration Control,Sample: 1,NUMBER,,Value that indicates how long items in a given lot remain available. A list of accepted values is defined in the lookup type EGP_SHELF_LIFE_CODE_TYPE. Review the value for this attribute using the Manage Standard Lookups task in the Setup and Maintenance work area.,,,,,
SERIAL_NUMBER_CONTROL_CODE,Serial Number Control,Sample: 1,NUMBER,,Value that indicates the number assigned to each unit of an item and is used to track the item. A list of accepted values is defined in the lookup type EGP_SERIAL_NUMBER_CONTROL_TYPE. Review the value for this attribute using the Manage Standard Lookups task in the Setup and Maintenance work area.,,,,,
SERIAL_STATUS_ENABLED,Serial Status Enabled,Sample: N,VARCHAR2,1,"Contains one of the following values: Y or N. If Y, then transactions on the item is restricted to the subinventory. If N, then transactions on the item isn't restricted to the subinventory.",,,,,
REVISION_QTY_CONTROL_CODE,Revision Control,Sample: 2,NUMBER,,"Contains one of the following values: 1 or 2.  If 2, then the item is under revision control and it includes inventory attributes. If 1, then the item isn't under revision control and it includes inventory attributes.",,,,,
AUTO_LOT_ALPHA_PREFIX,Starting Lot Prefix,Sample: PR0,VARCHAR2,80,Prefix associated when lot numbers are automatically created for an item.,,,,,
BULK_PICKED_FLAG,Bulk Picked,Sample: N,VARCHAR2,1,"Contains one of the following values: Y or N. If Y, then pick items in bulk. If N, then don't pick items in bulk.",,,,,
GRADE_CONTROL_FLAG,Grade Controlled,Sample: N,VARCHAR2,1,"Contains one of the following values: Y or N. If Y, then the item is grade controlled in addition to lot controlled. If N, then the item isn't grade controlled.",,,,,
LOT_DIVISIBLE_FLAG,Lot Divisible,Sample: Y,VARCHAR2,1,"Contains one of the following values: Y or N. If Y, then allow the application to allocate, reserve, or move partial lot quantities. If N, then don't allow the application to allocate, reserve, or move partial lot quantities.",,,,,
LOT_SPLIT_ENABLED,Lot Split Enabled,Sample: Y,VARCHAR2,1,"Contains one of the following values: Y or N. If Y, then the lot-controlled item can be split into many lots. If N, then the lot-controlled item can't be split into many lots.",,,,,
